0 1 2 3 4 5 6 7
0 1 2 3 4 5 7 10
0 1 2 3 4 5 7 11
0 1 2 3 4 5 8 10
0 1 2 3 4 5 8 11
0 1 2 3 4 6 7 8
0 1 2 3 4 7 10 11
0 1 2 3 4 8 10 11
0 1 2 3 5 6 7 8
0 1 2 3 5 7 10 11
0 1 2 3 5 8 10 11
0 1 2 3 6 7 8 10
0 1 2 3 6 7 8 11
0 1 2 3 6 7 10 11
0 1 2 3 6 9 10 13
0 1 2 3 6 9 12 13
0 1 2 3 7 8 9 10
0 1 2 3 7 8 10 13
0 1 2 3 7 8 11 13
0 1 2 3 7 8 11 14
0 1 2 3 7 9 10 11
0 1 2 3 7 9 10 13
0 1 2 3 7 10 11 14
0 1 2 3 7 11 13 14
0 1 2 3 8 9 10 11
0 1 2 3 8 9 10 13
0 1 2 3 8 10 11 14
0 1 2 3 8 11 13 14
0 1 2 3 9 10 13 14
0 1 2 3 9 11 12 13
0 1 2 3 9 11 13 14
0 1 2 3 9 12 13 14
0 1 2 3 10 11 12 13
0 1 2 3 11 12 13 14
0 1 2 4 5 6 7 8
0 1 2 4 5 7 10 11
0 1 2 4 5 8 10 11
0 1 2 4 6 7 8 10
0 1 2 4 6 7 8 11
0 1 2 4 6 7 10 11
0 1 2 4 6 9 10 13
0 1 2 4 6 9 12 13
0 1 2 4 7 8 9 10
0 1 2 4 7 8 10 13
0 1 2 4 7 8 11 13
0 1 2 4 7 8 11 14
0 1 2 4 7 9 10 11
0 1 2 4 7 9 10 13
0 1 2 4 7 10 11 14
0 1 2 4 7 11 13 14
0 1 2 4 8 9 10 11
0 1 2 4 8 9 10 13
0 1 2 4 8 10 11 14
0 1 2 4 8 11 13 14
0 1 2 4 9 10 13 14
0 1 2 4 9 11 12 13
0 1 2 4 9 11 13 14
0 1 2 4 9 12 13 14
0 1 2 4 10 11 12 13
0 1 2 4 11 12 13 14
0 1 2 5 3 4 7 8
0 1 2 5 4 6 7 8
0 1 2 5 4 7 10 11
0 1 2 5 4 8 10 11
0 1 2 5 6 7 8 10
0 1 2 5 6 7 8 11
0 1 2 5 6 7 10 11
0 1 2 5 6 9 10 13
0 1 2 5 6 9 12 13
0 1 2 5 7 8 9 10
